h,Low(Eur/MWh),High(Eur/MWh),Last(Eur/MWh),Weight. Avg.(Eur/MWh),Index(Eur/MWh),ID₃-Price(Eur/MWh),ID₁-Price(Eur/MWh),Buy Vol(MW),Sell Vol(MW)
23 - 24,22,71,44,51.03,51.03,48.83,41.23,4464.8,6063.6
00 - 01,30,55,42.01,46.33,46.33,46.21,43.45,2173.3,2489.7
01 - 02,33.01,52.8,37.01,45.23,45.23,45.12,44.09,2611.6,2833
02 - 03,35,51.1,39.8,44.54,44.54,44.32,43.46,2136.7,2473.1
03 - 04,40,52.9,45,44.9,44.9,44.28,44.5,1957.8,2052.8
04 - 05,43.01,55,52,45.32,45.32,44.95,46.52,1957.8,1710.5
05 - 06,30.01,65.3,37.5,46.01,46.01,45.44,47.17,1744.7,1772.7
06 - 07,24.21,68.4,27,50.44,50.44,51.23,46.03,1128.3,1442.3
07 - 08,43,69.3,43,56.69,56.69,56.8,51.39,1918.5,2179.4
08 - 09,46.2,70.1,58.82,58.07,58.07,57.52,52.36,3522.7,3994.7
09 - 10,46.02,70.5,58.78,58.16,58.16,58.17,57.62,4292.3,4979.6
10 - 11,40,70.1,50,57.35,57.35,57.16,50.04,5507.3,6302.6
11 - 12,37.51,69.6,50.6,56.28,56.29,55.1,52.87,5739.6,6950.5
12 - 13,18.02,67.8,22,52.71,52.71,53.79,52.33,6184.9,7115.9
13 - 14,44.01,63,48,51.38,51.38,50.99,50.11,6234.5,6672.1
14 - 15,20,64.99,40,48.24,48.24,49.45,51.33,7663.7,8617.3
15 - 16,25,55,30,46.37,46.37,47.17,47.13,9880.5,9745.8
16 - 17,40,59.9,45.9,47.06,47.06,47.88,52.4,8657.7,9119
17 - 18,25.05,56.5,26,46.61,46.61,48.32,48.48,8609.7,8990
18 - 19,34.01,61.8,50,47.17,47.17,47.18,45.99,10903.8,12188.7
19 - 20,16.21,68,16.21,47.34,47.34,47,44.26,11255,13008.3
20 - 21,25,139.7,39.9,44.14,44.14,43.64,39.05,11228.5,12400.6
21 - 22,40,62,62,46.74,46.74,47.22,50.85,10657.6,10545.9
22 - 23,32,59.99,46.51,45.16,45.16,46.65,42.18,7593.9,7462.8
23 - 24,10.01,69.9,30,34.65,34.66,31.54,31.01,6791.8,7045.2
00 - 01,0,48,26,17.58,17.58,14.7,9.72,3848.6,4106.9
01 - 02,-9.77,50,23.9,18.26,18.26,15.8,18.19,4319.3,4251.5
02 - 03,5,45,29.99,18.09,18.09,17.11,13.03,4608.1,4587
03 - 04,5,45,22,17.79,17.79,19.81,21.11,4495.5,4086.3
04 - 05,8,55,45,25.09,25.09,25.61,34.47,4312.3,3827.6
05 - 06,12,54,27.5,29.22,29.22,31.82,31.66,4240.6,3315.2
06 - 07,36.1,85,75,49.07,49.07,47.63,55.22,4364.4,4323.2
07 - 08,41.5,77.96,69,53.52,53.52,53.98,56.94,4754.6,4197.3
08 - 09,47,138,70,59.2,59.2,58.3,63.03,5712.3,5479.1
09 - 10,37,75,40.17,58.77,58.78,59.55,61.5,6857.9,6414.5
10 - 11,2,63,10,52.07,52.07,53.98,43.43,7789.8,6862
11 - 12,10.1,65,29,50.29,50.29,50.16,48.2,6970.3,6835
12 - 13,30,63.8,35,44.82,44.82,43.04,36.84,7602.8,7959.8
13 - 14,5,64,13,39.73,39.73,38.91,33.23,6161.6,6482.8
14 - 15,7.5,63,55,36.56,36.56,33.83,24.51,4852.6,5463.7
15 - 16,32.6,65.99,44,43.57,43.57,41.75,50.71,5755.9,6451.8
16 - 17,6.2,65,15,42.26,42.26,42.55,37.55,5343.3,6204.5
17 - 18,2,75,30,44.56,44.56,45.44,35.61,6265.1,7494.5
18 - 19,43.4,140,87.9,56.56,56.56,51.69,58.35,8021.5,8536.9
19 - 20,5,74.99,49,59.53,59.53,60.75,62.68,10187.1,10264.8
20 - 21,50.71,79.9,70,61.06,61.06,62.22,65.56,9858.2,10471.8
21 - 22,31.01,69,67,59.49,59.49,60.02,64.59,8140.6,7448
22 - 23,49.8,64.9,58.03,58.66,58.66,60.04,59.5,6475.4,6295.1
23 - 24,17.2,64,64,49.7,49.7,48.75,40.96,5425.7,5407
00 - 01,0,65,20,38.98,38.98,40.14,33.75,4619.4,5067.2
01 - 02,20.6,65,35,40.35,40.35,40.56,35.68,4836.7,5194.2
02 - 03,3,43.17,25,33.63,33.63,34.61,28.29,4781.9,5573.7
03 - 04,15.15,48,30,31.33,31.33,30.79,25.32,4317.5,5432.2
04 - 05,20.7,55.3,40,32.42,32.42,31.25,29.36,3871.4,4954.6
05 - 06,20.8,44.9,31.2,32.13,32.13,30.09,25.22,4392.7,5030.8
06 - 07,30,64.95,32,36.66,36.66,35.99,35.07,3415,3915.9
07 - 08,0.01,45,10.6,33.22,33.22,34.22,25.37,3441.7,3872.3
08 - 09,6.82,51.95,48,36.34,36.34,34.67,19.12,4412.4,5579.9
09 - 10,21.3,68.99,50,37.33,37.33,33.32,40.01,4124.7,5473.6
10 - 11,-50,45.3,1.6,19.86,19.86,23.2,14.23,4667.7,4695.9
11 - 12,-34.34,41,-10,3.65,3.65,-2.29,-18.97,5680.7,5679.4
12 - 13,-35.1,39.8,19.94,-1.09,-1.09,-9.77,-8.12,7583.4,7604.6
13 - 14,-29,44.99,3,5.48,5.48,5.1,31.05,7787.4,7732.1
14 - 15,-24.5,30,0,8.72,8.72,11.2,17.28,7504.4,7430.1
15 - 16,-70,30,15,4.62,4.62,9.95,-0.3,7464.8,7385.5
16 - 17,-63.9,31.8,-15,-2.5,-2.5,-6.68,-22.98,6764,6979
17 - 18,-30,39.5,34.8,4.42,4.42,-0.54,-3.51,6579.9,6607
18 - 19,7.11,52.1,40,32.06,32.06,30.37,40.42,5467,5623.3
19 - 20,0,58,0,46.47,46.47,48.55,45.23,6137.1,6489.5
20 - 21,20.9,80,80,51.03,51.03,50.68,47.19,6758.1,6694.8
21 - 22,47.5,86.45,69.9,56.35,56.35,58.32,67.88,6010.2,5747.8
22 - 23,37.9,66.7,40,55.52,55.52,58.53,55.67,5497.5,5211.8
23 - 24,0,64,40,52.09,52.09,52.5,45.23,5124.9,5437.1
00 - 01,29,57,38.1,44.9,44.9,44.03,40.05,3867.4,3809.4
01 - 02,22.01,48,36.29,38.29,38.29,37.77,35.29,3196.7,3713.1
02 - 03,8.8,43.82,23,32.64,32.64,31.24,26.02,3448.1,3723.9
03 - 04,8,100,100,30.6,30.6,28.27,27.69,3094,3480.3
04 - 05,-41,44.9,-41,30.2,30.2,29.16,30.51,3118.5,3202.9
05 - 06,-1.47,40,10,30.59,30.59,30.39,27.54,3094.5,3669.1
06 - 07,-36.99,41,10,25.42,25.42,25.08,14.22,3069.6,3778.6
07 - 08,0,44.9,36.4,27.93,27.93,25.67,21.14,2993.7,4119.5
08 - 09,-7,45,0,24.15,24.15,21.74,19.09,4441,4784.9
09 - 10,5,55,45.08,22.84,22.84,17.27,16.89,4457.4,4274.4
10 - 11,0,38,0,20.22,20.22,18.94,23.21,5201.8,4674.7
11 - 12,-10,34.1,3,17.31,17.31,16.67,6.28,5356.6,4504.3
12 - 13,-49.99,32,-49.99,10.23,10.23,7.77,1.44,6289.6,6230.7
13 - 14,-60,27.1,-40,0.53,0.53,-2.68,-14.53,6928.5,6926.4
14 - 15,-62.76,25,-41,-15.71,-15.71,-21.7,-39.15,5498.6,5522
15 - 16,-43.9,20,-10.03,-13.64,-13.64,-22.43,-24.83,6271.7,6297.7
16 - 17,-30,30.6,20,-3.65,-3.65,-9.15,-4.25,7418.4,7423.5
17 - 18,12,59.99,45,32.17,32.17,34.11,43.47,5027.5,5138.5
18 - 19,41.26,88,88,51.99,51.99,53.85,59.63,5750.1,4979.9
19 - 20,40,69,51,57.08,57.08,59.41,65.24,3824.7,3188.6
20 - 21,41,72.53,50,62.45,62.45,64.4,65.91,4737.5,4207.8
21 - 22,57,98.98,98.98,66.26,66.26,67.23,73.03,3220.5,3368.3
22 - 23,45.5,125.88,99.9,70.38,70.38,70.81,84.76,4372.3,3771
23 - 24,40.05,82.99,64,62.98,62.98,64.01,67.04,6130.6,5960.8
00 - 01,35,81.97,72,58.5,58.5,58.01,65.65,4352.6,5002.7
01 - 02,26.01,65.5,39,53.98,53.98,55.68,56.35,5776.5,5759.6
02 - 03,44.4,78,75,54.92,54.92,55.14,63.25,5185.1,6034.5
03 - 04,43.2,59,53.6,52.34,52.34,53.21,53.38,5252.6,5536.5
04 - 05,42.6,60,53.6,49.06,49.06,49.37,50.54,4404.9,5030.7
05 - 06,10.71,67.99,67,52.85,52.85,53.62,56.38,4249.4,4804
06 - 07,-4.7,115,78,64.66,64.66,64.86,71.85,3383.9,3371.5
07 - 08,17.3,74,55,65.74,65.74,67.19,59.87,4702.5,4767.3
08 - 09,55,74,61.5,66.15,66.15,65.58,63.34,3951.5,4837.9
09 - 10,56.01,96,80,68.92,68.92,68.09,73.68,5625.2,6713.5
10 - 11,59.01,169.99,150,70.63,70.63,68.64,72.81,7533.9,8636.5
11 - 12,50,73.98,54.11,67.26,67.26,68.69,64.96,9823.4,8982.8
12 - 13,40.01,71.6,45.06,66.31,66.31,67.42,64.04,9005.1,9278.8
13 - 14,40,74,45,65.31,65.31,66.87,65.8,8273.7,8900.6
14 - 15,57.8,91.13,80,66.47,66.47,66.84,70.83,6577.6,7901
15 - 16,44.03,70.3,45,63.5,63.5,64.61,61.74,7538.5,7448.1
16 - 17,48.3,68,58,62.23,62.23,62.48,53.79,6919.6,6161.1
17 - 18,55.21,81.1,62,63.15,63.15,62.44,59,5941.8,5687.5
18 - 19,59,80,64,65.65,65.65,66.3,69.44,7166.2,7104.2
19 - 20,45.1,70.99,55,65.39,65.39,66.58,65.47,6902.2,6495.5
